film_id,team_id,team_name,film_title,film_url
71596,95244,Interstellar Studios,Meat The Family,https://www.48hourfilm.com/dash/cp/production/team-more-info/95244
71295,94825,Team Kludge aka team low-tech,ARI,https://www.48hourfilm.com/dash/cp/production/team-more-info/94825
71688,94049,Team Roller Pictures,A Cut Above,https://www.48hourfilm.com/dash/cp/production/team-more-info/94049
71703,94920,Jabronie Pictures,Divide and Concierge,https://www.48hourfilm.com/dash/cp/production/team-more-info/94920
70542,94181,Dad Skeleton,The Good Good,https://www.48hourfilm.com/dash/cp/production/team-more-info/94181
71670,93955,Metal Pixel Foundry,Granulated,https://www.48hourfilm.com/dash/cp/production/team-more-info/93955
70874,94172,Breakfast for Dinner!,Extra Toppings,https://www.48hourfilm.com/dash/cp/production/team-more-info/94172
71671,95339,Snarky JR.,The Clean Up Crew,https://www.48hourfilm.com/dash/cp/production/team-more-info/95339
71055,94679,The K Concern,Tango for the Unseen,https://www.48hourfilm.com/dash/cp/production/team-more-info/94679
71682,92495,Ecliptic Entertainment,The Kollivers,https://www.48hourfilm.com/dash/cp/production/team-more-info/92495
71706,95213,Matte Black Productions,The Last Slice,https://www.48hourfilm.com/dash/cp/production/team-more-info/95213
71547,95158,Monkey's On The Bed,HOTEL BAR,https://www.48hourfilm.com/dash/cp/production/team-more-info/95158
70543,94182,Loaf Productions,Mood Swings,https://www.48hourfilm.com/dash/cp/production/team-more-info/94182
71698,94881,The 2880 Minute Movie Makers,I Plead The Fifth,https://www.48hourfilm.com/dash/cp/production/team-more-info/94881
71624,95265,Jake Byrd Productions,Plastic & Porcelain,https://www.48hourfilm.com/dash/cp/production/team-more-info/95265
71709,95359,No Umbrella Studios,WondRFULL,https://www.48hourfilm.com/dash/cp/production/team-more-info/95359
71705,95194,Reading Crew,The Movie Star's Assistant,https://www.48hourfilm.com/dash/cp/production/team-more-info/95194
71584,95216,The Super PA's,Dystopian Cowboys,https://www.48hourfilm.com/dash/cp/production/team-more-info/95216
71692,94443,TwentyTen Productions,Happy Birthday to Who,https://www.48hourfilm.com/dash/cp/production/team-more-info/94443
71689,94140,Hallyu USA,Doctor P,https://www.48hourfilm.com/dash/cp/production/team-more-info/94140
71693,94446,Cane Toad Productions,Finest City Signs,https://www.48hourfilm.com/dash/cp/production/team-more-info/94446
71555,94962,ArtHouse Films,Breakdown Boogie,https://www.48hourfilm.com/dash/cp/production/team-more-info/94962
71247,94879,Mission Avenue,Manchild,https://www.48hourfilm.com/dash/cp/production/team-more-info/94879
70736,94317,Rhino Street Productions,Last Drop,https://www.48hourfilm.com/dash/cp/production/team-more-info/94317
70963,94541,The Filmigos,F.I.R.E. In My Heart,https://www.48hourfilm.com/dash/cp/production/team-more-info/94541
